,content,label
16344,최근에 올케가 유방암 진단을 받았어. 그래서 그런지 나도 암에 걸리면 어떻게 하나 걱정이 많이 들어.,1
49975,몸도 아프고 병원비를 보니까 더 머리가 아픈 것 같아.,2
5860,나 요즘 매일 헬스장에 가서 운동 열심히 했더니 피곤한 줄 모르겠어.,0
3452,오늘 정말 기분 좋아!,0
7110,얼마나 꿈같을까짝짝짝,0
29023,학교에서 따돌림 당하는 친구가 나에게 부탁을 했을 때 거절할 수 없었어.,1
59493,그래서 제가 걱정되서 뭔일 잇냐고 근데 그건아니래요,2
54675,회의 시간에 내 말을 듣는 사람이 아무도 없어. 너무 상처 받았어.,2
63331,남치니 어제 군대 보냈어요...,2
8758, 우리나라의 힘입니다.,0
37199,이야.. 안민석 의원님 직접 현장을 가시다니ㄷㄷ 대단하십니다,1
42067,낮짝보기 싫지만.생중계 해라! 욕이라도 끌어 붓자!,1
28395,나 고백 받았는데 당황스럽네.,1
29252,오늘 제출해야 하는 자료를 열심히 준비해놓고 집에 두고 왔어. 나 스스로가 너무 한심하고 어떻게 해야 하는지 당황스러워.,1
37879,파파이스 100여회 내용도 굉장하던데..,1
33983,뒷 돈 준건가요???,1
6613,입사 초반에는 인간관계가 힘들었는데 이제 좀 편안해진 것 같아.,0
26489,오늘 학교에서 돌아와 내 방을 열었더니 엄마가 계서서 당황했어.,1
20595,자꾸 나에 대해 안 좋은 이야기를 퍼트리는 사람이 있는 것 같아.,1
30941,매주 지출되는 병원비가 아까운데 몸이 아파서 병원을 안 갈 수도 없는 상황이야.,1
37515,올해 양초공장대박났네,1
61394, 혜경이 능력에 비해 너무 일찍 현모양처를 자처했다 배신당했음...,2
8888,좋은곳으로 가길바란다 은비야,0
57010,저탄고지 식단이 몸에 별로 좋지 않다고 하네. 방송에 나와서 따라했던 게 후회돼.,2
5143,이 일만 칠 년째 하다 보니 일이 익숙해서 편해.,0
52498,요새 다른 사람들이 날 피하는 것 같아.,2
44525,망할 끝까지 거짓 단두대가 딱,1
17550,우리 가족 중에서 나를 반겨주는 것은 강아지뿐인 거 같아서 기분이 좋지 않아.,1
31469,경력 단절 여성이라고 취업이 안 돼. 너무 화가 나.,1
17189,요즘 큰 고민이 있어.,1
13821,이 나이 먹고 돈 걱정할 줄이야.,1
16527,손자들이 내 얼굴을 잊을까 봐 이번 명절에는 꼭 보고 싶은데 그럴 수 없을 것 같아 속상해.,1
23837,아들이 찾아와서 어차피 죽을 거 빨리 상속해 달라고 해서 너무 화가 나.,1
5408,이번에 상견례를 하게 되었는데 예비 시부모님께서 두 분 다 친절하고 상냥하신 데다가 신세대처럼 재밌는 분들이라 너무 좋았어. 긴장하고 갔는데 너무 다행인 거 있지?,0
9676,믿고보는 jtbc 응원합니다.,0
7531,그나마 다행이 기각폰은 안됐네 ㅋㅋㅋ 탄핵폰 ㅊㅋㅊㅋ,0
7686,파이널보스 오승환!!!,0
10623, 성공하든 실패하든 요리에 첫 발걸음을 떼게 해준 백주부님 감사합니다.,0
12498,최민용씨 언제나 화이팅♡♡♡ 팬이에요ㅜㅜ,0
52603,지난 몇 주 내내 준비한 프로젝트가 완전히 취소됐어. 너무 애통하다.,2
32865,나 요즘 연애하는 게 조심스러워.,1
25566,목 디스크가 심해져서 집안일을 하기가 어려워.,1
47675,상사 대신 부하한테 쓴 소리를 해야 하니까 마음이 불편해.,2
49843,나 학교생활에서 너무나 후회되는 일이 있어.,2
52264,홍수로 인해 집과 가축들이 떠내려갔어. 당장 가진 재산이 하나도 없어서 큰일이야.,2
51892,열심히 살았는데 지금 재정이 넉넉하지 못하네.,2
11595,정말 행복 하세요^^,0
16996,누가 무슨 말만 하면 무시당하는 것만 같아.,1
20,과거에 연금 저축을 많이 들어둔 게 참 다행이야.,0
7416,ㅋㅋㅋ 이따가 또가야짘ㅋㅋㅋ,0
650,인턴으로 일하고 있는데 여기 분위기가 너무 좋고 편해. 다행이야.,0
10022, 다들 기다려주셔서 감사해요,0
23387,확실히 지방에 살면 불리한 게 너무 많아.,1
5998,난 지금 이 상태가 제일 좋아.,0
12202,하하핫~~~안녕히계세요~~,0
15110,여태껏 노후 준비를 제대로 하지 않은 나 스스로가 참 초라해.,1
50418,경로당 노인들과 대화를 하는데 나를 고지식한 노인네라고 했어. 그 말에 너무 상처받았어.,2
8944,김현수 기사를 꾸준히 써주시는 코놀리 기자님 감사합니다.,0
21212,내 장래희망에 대해서 함부로 이야기를 한 친구로부터 모멸감을 느꼈어.,1
57764,나 힘들어.,2
1612,다음 주면 결혼식이라니 아주 기대돼.,0
7396,오 이거 보자마자 대박을 외쳤슴,0
46377,남편이 백혈병에 걸려서 세상을 떠났는데 가족력으로 딸도 백혈병 진단을 받았어.,2
27756,계속해서 면접에 떨어지니 나 자신이 너무 한심해.,1
14980,나 지난번 펀드에 투자했는데 큰일이야. 마이너스 이십이네.,1
35258,어느순간몸이 이렇게 불어잇더라고요..,1
59368,아무것도 손에 안 잡히고 그 분아니면 안 될 것 같고...,2
28107,요즘 경제적으로 힘들어지기 시작했는데 아내가 보험사기를 벌이자고 해서 당황스러워.,1
62581,저렇게 해도 저중에 붙는사람이 10명도 안된다는 게 슬프네 ㅠ,2
5955,시험 때문에 원하던 한정판 신발을 못 살 뻔 했는데 친구가 대신 사줘서 정말 신나!,0
1807,이번에 열심히 공부했더니 저번보다 삼십 점이나 올랐어!,0
61873, 내년에 잘 될까요,2
41592,해킹한 사람 실명밝히고 처벌하자 사생활 침해는 범죄다.,1
8834,  이것은 퍼팩트다 라고 속으로 외쳤읍니다.,0
16602,몸이 약해서 학교에서 폭력을 당할까봐 두려워.,1
12464,축하드립니다^^ 더욱승승장구 하세요!,0
24390,친구한테 거짓말했는데 들킬까 봐 너무 불안해.,1
29734,취업이 너무 안 돼서 스트레스받아.,1
8020,진심이 느껴지네요.,0
25414,어제 친구가 나에게 한 말에 감정적으로 반응해 버렸어. 나한테 많이 실망했겠지?,1
4406,이번에 회사에서 건강 검진했는데 상태가 아주 좋은 것 같아.,0
14454,육아하느라 힘들어. 도와주는 사람이 아무도 없어.,1
48645,이번 대회에 한 명만 출전할 수 있는데 친구를 위해서 내가 포기했어.,2
469,우리 부서에 많은 업무를 줬지만 팀원들이 모두 잘 해내고 있어.,0
5969,연금 복권에 당첨됐어.,0
19281,모임을 나가서 친구를 사귀었는데 무언가 계산적인 사람이란 게 느껴져서 불안해.,1
10825,음식에 흥미를 느끼게끔 해주시네요..,0
58784,  남편의 폭력 폭언때문입니다..10년을 살고있는데요..,2
52116,수능은 점점 다가오는데 최근 모의고사 성적이 오히려 더 떨어졌어.,2
14184,어려운 고민도 털어놓고 도움도 주고받던 동기들이 이젠 승진 때문에 서로 견제하고 있네.,1
5159,지난주 결혼하고 신혼여행을 다녀왔는데 허니문 베이비를 갖게 될 것 같아. 너무 기대돼.,0
9099,JTBC 멋집니다~!!,0
35983,김고은이 주연인데 윤인나가 서브라니,1
39609,초기대응 실패한 공무원들 모조리 파면시키소,1
3148,곧 둘째가 태어나는데 생각만큼 떨리진 않네.,0
22843,오늘 소개팅에서 상대가 너무 별로 여서 화가 날 정도야.,1
35426, 뜨겁뜨겁 핫핫 ㅋㅋ,1
11139,우리형 환한 미소봐라 세상을 다가진 기분이다 지금 형이 기분이 매우좋다 클럽아메리카 조심해라,0
27300,나는 연애하고 싶지 않아.,1
37855,언제부터 한국이 게임 종주국이였냐ㅋㅋㅋㅋㅋ,1
2472,고등학교 진학 때 어느 곳을 갈지 고민이 많았는데 선생님과 상담하면서 정했어.,0
33162,어제 회의 시간에 우리 회사 대리님이 계속 방귀를 뀌는 거야. 너무 싫었어.,1
2207,아이가 어느 정도 크니까 이제 덜 힘드네. 요즘 신랑도 집안일을 많이 하고 가족이 화목해진 것 같아서 좋아.,0
8674,사진만 봐도 백인이 우월하고 진짜 미국 주인이 들어온것 같다.........,0
60742, 오빠 애인있음 안되는데제가 접수할겁니다,2
61373,미세먼지 도 나쁨 인데...,2
10663,박신혜 응원합니다!!!,0
63635, 미련이 너무 많아서요...,2
9980,Kbo의 잘했어요. 좋은결정 환영 .내가다 기분이 좋아지네요.,0
2818,육아로 인해 경력단절이 걱정스러웠는데 일 년간 육아휴직을 할 수 있게 되어 마음이 편해.,0
17715,아직도 나만 진로를 정하지 못한 것 같아서 스스로가 너무 한심하게 느껴져.,1
6014,나 드디어 남자친구랑 결혼해!,0
55923,요즘 배가 많이 나오고 여기저기 아프기 시작해서 괴로워.,2
9567, 저는 늘 연아선수를 믿습니다..,0
52068,오늘 회사에서 큰 실수를 한 것 같아.,2
5875,내 나이가 많아서 사장이 그만두라고 할 것 같았지만 그러지 않아서 기뻐.,0
29479,첫 직장에 취업을 했는데 자꾸 내가 지원한 직무랑 상관없는 업무를 맡기게 하려는 것 같아서 불안해.,1
1055,동기들과 비교했을 때 내가 조금 더 높은 연봉을 받는 것 같아서 자랑스러워.,0
51350,아내 병간호에 전념하는 동안 가게에 신경을 못 써서 매출이 반으로 줄었어.,2
44503,건보료는 서민에게 살인적인 조폭이다,1
50669,나는 잘하는 게 아무것도 없는 사람 같아서 슬퍼.,2
47693,나는 세상에서 믿는 게 돈밖에 없어.,2
2959,아내가 곧 출산한다고 연락이 와서 두근두근하고 긴장되네.,0
56600,자녀들에게 조차 무시 당해서 내가 너무 불우한 거 같아.,2
274,이번에 들어온 신입 사원들이 아주 행동이 민첩해. 일머리도 좋고 말이야.,0
32514,이전에는 나에게 관심도 없던 사람들이 내가 로또에 당첨됐다니 돈을 빌려달라고 연락을 해.,1
13351,내가 아무리 힘들게 일해도 아내는 아들의 학원비 때문에 돈을 달라고만 재촉하니 스트레스 받아.,1
59142, 음식을 먹으면 다 토하구요,2
55415,친구들이 학교에서 나를 피하는 것 같아.따돌림 받는 기분이야.,2
26423,톡방에서 여직원들에 대한 평가가 이루어진다는 사실을 알고 너무 화가 나.,1
44956,산책하던 중에 갑자기 자전거가 튀어나와 팔목이 부러졌지 뭐야.,2
56936,아들이 나를 청소하는 일꾼 정도로만 여겨. 늙어서도 희생하는 기분이야.,2
11706,"한국인 , 북한인 , 재외동포 _ 모두가 같은민족 조선족 입니다요 ㅎㅅㅎ",0
46475,혈압 약을 살 돈이 없어서 고혈압이 점점 심해져.,2
19529,아내가 나 몰래 내 인감도장을 가지고 아들에게 은행 대출을 해주었어. 지금 너무 화가 나.,1
53246,친구가 죽은걸 보니 함께 했던 과거가 후회되네.,2
33259,딸의 그림일기에 내가 가장 무서운 사람으로 그려져 있어서 부끄러운 마음이 들었어.,1
56429,친하게 지내던 친구가 나를 싫어하는 것 같아서 슬퍼.,2
36987,헐 하백의 신부 원작은 보셨나....,1
62481, 안좋은일은 어쩌면 이렇게한꺼번에 일어나는지...ㅠ,2
49316,나 어제 학교에서 너무 질투 나더라.,2
36945,싱크홀 같은거 아니야?,1
44160,애플쓰지말자~대한민국힘없다진짜~애플추방하라,1
8044,중국은 이렇게 숨은 인재들이 많구만,0
40524,맞다....한국 남자가 아니라. 남자놈들은 다 쓰레기다.,1
189,내가 오늘 고백을 받았는데 그 사람과의 연애가 너무 기대가 돼.,0
22116,친했던 친구가 급하다고 해서 돈을 빌려줬는데 갚을 생각도 없는 것 같아서 스트레스야.,1
4433,퇴직금으로 꿈에 그리던 집을 샀어.,0
55942,상사가 어제 나에게 모든 업무를 떠넘기고 장기 휴가를 떠났어. 갑작스럽게 일이 몰려 힘드네.,2
10334,  올해는 별루 좋은 일이 생각나지 않는데 연아양만이 기쁜 소식을 전해줬습니다.,0
37739,마일이 아니라 법정공식계량단위인 km/h를 사용해야 합니다.,1
40003,정유라랑짜고 소설쓰는거 같은데,1
9150," 삼국시대부터 관청이름, 행정조직이름 다 방위작명했고 방위로 대략의 위치를 짐작할수있으니 얼마나편리한가?",0
11846,아이 고소하다ㅇㅇㅇ,0
50298,아빠가 엄마랑 싸웠어. 빨리 화해했으면 좋겠는데.,2
38564,골반 지리네,1
14556,아이를 가진 것 같아.,1
37765,화웨이도 엣지넣고싶어서 그러는거군...,1
38730,순실이라고 ????,1
10392,어렵지 않은 요리를 알려 주셔서 감사해요^^,0
51204,어제 화장실에서 나오다가 쓰러졌어.,2
43583,기상청 슈퍼컴에 북한 늑대가 나타났습니다.,1
41087,극혐이다 진짜 광복절에 뭐하는 짓이냐ㅡ,1
1573,몸이 점점 망가져서 속상하지만 자식들이 도움을 줘서 기뻐.,0
6729,이렇게 좋은 운동 시설에서 경로 우대로 운동할 수 있다니 참 행운이야.,0
54468,자꾸 취업에 실패해서 딸이 우는 모습을 보면 마음이 아파.,2
61645, 도대체 왜 어제 전화로 잘얘기해보자 해놓고하루만에 마음이 바뀌는건지..,2
55416,며느리는 내가 귀찮은지 어떻게든 집 밖으로 나를 쫓아내고 싶어 해서 미워.,2
63466,기대한만큼 실망도 클테니깐....ㅜㅜ,2
9679,박보검♡김유정 이들이 드라마를 멋지게 살림♡,0
3567,요즘 학교 성적이 너무 좋아서 행복하고 자신감이 넘쳐.,0
30942,면접 본 곳에서 불합격 연락을 받았어. 열심히 준비했는데 떨어져서 너무 화가 나.,1
1602,며늘아기가 임신을 했다고 그러네. 그동안 유산을 해서 걱정했는데.,0
1087,이십 대부터 노후를 준비하고 재테크를 한 것은 올바른 선택이었어.,0
2715,신난다! 아빠가 오랜만에 외식을 하자고 해서 준비하고 나가는 중이야.,0
51713,아내랑 결혼하면서 마련한 집 대출금을 드디어 모두 갚았어. 감격스러워.,2
35105,헐헐 컬처쇼크,1
35920,노무현 정권의 최대 미스터리.,1
829,아들들이 생일 선물로 운동기구를 사줬네. 참 감동이야.,0
47168,3년 평생을 요리사로 살아왔는데 병원에서 검진받으니 폐암 초기라 하더라고.,2
48427,반 모임에서 친구들이 내가 싫다고 오지 말래. 너무 우울해서 식욕도 잃었어.,2
27875,퇴직 이후에 사람들에겐 사업 준비 중이라고 하지만 계속 집에서 놀고만 있어.,1
60553,어제 일하느라 오빠 생일두 깜빡 잊어버렸네여 ㅠㅠ,2
50862,날 때린 가해자가 사과하는 것에 대해 기대를 버렸어.,2
46520,친구가 너보다 먼저 취직이 됐어.,2
2479,이민 간 친구네로 일주일 놀러 갔다 왔어.,0
61276,"저 해맑은 아이들을 박사모로 만든, 슬픈 한국근현대사....",2
7001,역시 이대호~ 알아서 잘해주네요~~ 쭉쭉 갑시다ㅎ,0
688,당뇨 수치가 드디어 내려갔어.,0
56252,교수님께서 지금 내 학점으로는 원하는 회사에 들어갈 수 없다고 하셔.,2
14031,선생님이 갑자기 내 이름을 부르셔서 너무 놀라고 당황했어.,1
55041,요즈음 건강이 정말 염려가 돼.,2
52698,연차를 많이 썼다고 회사에서 날 해고했어. 쓰라고 있는 연차인데 정말 억울해.,2
12868,전달 받은 게 없는데 팀장님이 왜 안했냐며 혼냈어. 또 그럴까봐 불안해.,1
264,휴. 정말 다행이지 뭐야.,0
38807,축소 발표 오지구요~,1
6624,이제 은퇴하면 퇴직금과 지금까지 모은 돈으로 혼자 해외여행 다닐 거야.,0
21472,푹 쉬고 싶다.,1
6535,오늘 직장 상사에게 보너스도 받고 사람들 앞에서 축하도 받았어. 일을 지금까지 잘해온 것 같아 정말 기뻐.,0
51572,자기 일이 있고 당당하게 직장을 다니는 남편이 부러워.,2
1015,치료를 계속 받아야 하는 친구가 있는데 병원비 때문에 퇴원한다는 거 내가 돈을 빌려줬어.,0
48429,나는 병원비가 없어서 아파도 참고 있는데 옆집은 자식들이 찾아와서 챙겨주는 걸 보니 질투가 나.,2
3180,좋아하는 여자에게 이 주 전에 고백했어.,0
49004,요즘 인간관계가 어려운 것 같아.,2
12567,제가 하고싶은말 해주셨네요,0
2939,드디어 취업에 성공했어! 도와주신 선배께 고맙다고 인사를 드려야겠다.,0
25184,엄마가 갑자기 방문을 열고 서랍에 숨겨놓은 성적표를 가지고 갔어. 너무 당황스러워.,1
58144,회사는 내가 불의의 사고로 퇴직하면 삼 년 동안은 책임지겠다고 했으나 약속을 지키지 않았어.,2
5017,건강하고 재정적으로 여유가 있으니 세상이 참 평화로워 보여.,0
56377,시험을 잘 보기 위해서 잠도 안자고 노력했는데 성적이 그만큼 나오지 않아서 괴로워.,2
27718,선생님은 가해자들이 나를 괴롭히고 있단 사실을 몰라서 스트레스받아.,1
1663,내가 지금껏 손을 댄 사업은 전부 성공했어. 정말 운이 많이 따라 준 것 같아.,0
36069,매미가 이 시간까지 우네,1
43559,뭐묻은개가 뭐묻은개 걱정하는 꼴이네..ㅋㅋㅋ,1
45334,우리 집 아이 때문에 미치겠어. 공부는 안 하고 하루 종일 게임만 해.,2
828,김 씨가 퇴원해서 내가 더 기뻐.,0
17100,예식장이 망해서 결혼식을 못한다니 어이가 없네.,1
27097,회사에서 내 뒷담화를 하는 동기가 있어 정말 힘들어.,1
17388,공사기한이 얼마 남지 않았는데 인테리어 하청업체 사장이 연락이 안 돼. 도대체 어떻게 된 건지.,1
60729,오늘 우리 가족은 온천에 갔어요.,2
9053,김승회선수 어느팀에서나 항상 응원합니다,0
6544,친구들과의 의견 차이로 다투다 무리에서 떨어져 반에서 따돌림을 당하고 있어 힘들어.,0
4089,회사에서 보너스가 나와서 너무 좋아.,0
23312,은퇴 후의 계획을 이루려면 돈이 많이 필요한데 구역질이 나네.,1
3768,아이를 낳고 기르면서 부모님께 정말 감사하는 마음을 갖게 됐어.,0
53501,아빠가 모르는 여자를 엄마라고 부르래.,2
2000,오랜만에 친구들을 만나도 어색하지 않고 편하고 재밌어.,0
59624,아 심란하네...0,2
11323,아 재밌어 보인다 ㅠㅠ0,0
54093,나는 단짝이라고 생각할 만큼 굉장히 친한 친구였는데 욕을 들었어. 그래서 너무 상처를 받았어.,2
53490,회사에서 하는 모든 일이 비생산적인 것 투성인 거 같아.,2
6425,내 딸이 잘하고 왔으면 좋겠어.,0
12022, 웃다보면 좋은날이 오겠죠! 홧팅~,0
26701,외근 할 때 내 심장이 유리심장인가 봐. 회사에서 전화만 와도 심장이 내려앉는 거 같아.,1
63287,지금 여권은 전에만들어서 있는데 해외여행은 아직한번두못가봤네요,2
50460,우리 과가 없어지고 다른 과와 통합된대. 내가 다니던 과가 없어져서 당황스러워.,2
2133,요즘 취업난이 심각한데 무사히 취업에 성공했어.,0
6637,내가 가고 싶어 하던 회사에 합격했다는 연락이 왔어. 정말 기뻐!,0
57083,우리 아들이 서울에 있는 대학을 다니는데 너무 보고 싶어.,2
54957,동생이 가출했어. 너무 충격이야.,2
1580,이제 은퇴 시기는 점점 다가오는데 은퇴 후 노후 준비가 막막하네.,0
48617,요즘 아무것도 하기 싫어.,2
4585,나이 먹어가는 것이 꼭 나쁘지만은 않아. 세상을 바라보는 관점이 좀 편안해졌어.,0
2996,요즘은 아주 사는 게 기분이 좋아.,0
63063,결혼 적령기 처자인데소개팅하면 애프터가 없어요..,2
600,결혼 후 아내와 아이들과 여행을 자주 다녀서 기뻐.,0
63670,물론 그전에 채용된다면 좋겠지만요...,2
38466,어쨋든 막판에 엘지가 도전하게 될 줄이야..,1
49260,자식 유학 보내고 혼자 산 지가 오 년인데 전화도 안 오고 난 돈만 벌어서 부치는 사람인지 씁쓸하네.,2
28817,요즘 취업 시장이 참 혼란스러워.,1
4372,오늘 특별히 회사에서 보너스를 받았어.,0
53253,난 아무래도 은퇴 후에는 집안에서만 꼼짝 않고 있을 것 같아. 지금 갈수록 무릎이 안 좋아서 걱정이거든.,2
4732,건강 검진을 했는데 신체 나이가 실제 나이보다 열 살이나 어리게 나왔어. 정말 너무 신나!,0
51686,건강이 나빠지고 거동이 힘들어지니 가족들이 나를 귀찮아하는 것 같아서 속상해.,2
40909, 언제까지 시간 끌거냐!,1
24278,오늘 회사 일은 잔뜩인데 몸 상태까지 안 좋으니 걱정이네.,1
50592,친구와 술을 마시면서 그동안 서운했던 것들을 다 토해냈어. 후련하기도 찝찝하기도 해.,2
16780,내가 은퇴를 대비해 준비한 창업 아이디어를 직장동료가 가로채서 창업해 버린 걸 알고서 화가 났어.,1
48039,우리 엄마는 정말 나 때문에 평생을 고생했어. 지금 생각하니까 눈물이 나려고 하네.,2
24966,매일 운동을 하는데도 갈수록 체력이 떨어지는 게 느껴져서 화가 나.,1
59669, 저는 정말 집중력이 부족합니다.,2
9398,그래도 남아줘서 고마워요 현종선수,0
7436,좋앗어 우리동네에 호날두오신다,0
1879,오늘 내가 좋아하던 사람에게 고백받았어! 너무 기뻐!,0
41179, 심리학자들 성격분석자들 놔두고 이런건왜안해!!!!,1
5082,나 요즘 고민거리가 생겼어.,0
11245,그런데 인기가 많어 ㅋㅋ,0
61494,언제쯤이면 잊을수잇을까....,2
54862,아침에 일어날 때마다 몸이 아파.,2
51679,아이들이 남편의 말만 듣고 내 말은 들어주지 않아서 자꾸 심술이 나. 안 그래도 아이들은 함께 보내는 시간도 많지 않은데.,2
32564,몸이 아파서 양호실에 가고 싶은데 수업 중이라 말을 못 해서 힘들어.,1
6792,  나도 외국에서 응원할게,0
19298,요즘 취업하기 너무 힘들어서 짜증 나.,1
52033,내가 좋은 사람이라 잘 결혼한 거 같다는 아내의 말에 눈물이 났어. 고생만 시킨 거 같아 눈물이 나.,2
50105,내가 하려는 일을 부모님이 반대하셔서 나 너무 힘들어.,2
57724,친구한테 배신당한 것 같아.,2
7033,예능이 무한도전 이전과 이후로 나뉘듯 드라마도 도깨비 이전과 이후로 나뉠듯 정말 기똥찬 드라마 나왔네요^^,0
26903,최근 들어 살고 싶지가 않아.,1
17655,오늘 친구가 갑자기 쓰러졌다는 소식을 들었어.,1
12632,축하해요바다누님 결혼까지~,0
34069,까도 까도 계속 뭐가 나오는게 무섭다,1
8593,특검화이팅!!!응원하고있습니다,0
46104,이번에 등록금 때문에 휴학까지 생각하고 있는데 친구는 돈 걱정 없이 해외여행을 다녀왔다니까 기분이 안 좋아.,2
61842, 이제 토익준비 시작합니다..,2
4779,손주에게 노트북을 사줬는데 저렇게 좋아하는 모습을 보니 내가 더 기쁘네.,0
48648,친구가 교통사고를 당해서 마음이 너무 아파.,2
25407,더 가격이 싼 것을 사려고 슈퍼를 몇 군데 돌아다니는 게 힘들어.,1
4214,이제는 결혼과 자녀 문제로 머리 아플 일이 없어.,0
16521,밤새워 작성한  문서파일이 다 날아가 버렸어.,1
34609,대포폰 쓰면 최소 구속 아닌가?,1
46819,꾸준히 운동했는데 건강이 좋아지지 않은 것 같아서 실망감이 커.,2
14431,이번에 의사 파업 때문에 의사를 못 찾아서 죽은 사람이 두 명이나 된대.,1
23366,노후준비를 열심히 한다고 했지만 결과물이 별로 좋지 않아 내 자신이 한심해!,1
18141,회사 일이 너무 많아 스트레스 받고 어찌해야 할지 모르겠어.,1
45916,아들이 몰래 자퇴를 하고 일을 하고 있었대.,2
7674,이민호 연기 존나 잘해 우는데 넘 슬프더라ㅠㅠ개좋아ㅠㅠ,0
55916,남편이랑 대화를 하고 싶어도 말이 통하지 않아서 힘들어.,2
47649,여자 친구 부모님이 교통사고로 급작스럽게 돌아가셨어. 내가 해줄 수 있는 게 없어서 마음이 아파.,2
